departamento,municipio,codigo_dane_municipio,latitud,longitud,altitud_msnm,radiacion_kWhm2_dia,viento_ms,temperatura_C,humedad_relativa_pct,nubosidad_pct,tipo_red,demanda_kWh_mes,relieve_indice,potencial
META,SAN JUAN DE ARAMA,50683,3.373728,-73.875832,444.0,4.65685,1.1816666666666666,22.2625,87.3175,31.570246719468653,ZNI,,,solar
META,SAN JUANITO,50686,4.458181,-73.676699,1949.0,4.315841666666667,2.0425,15.326666666666668,86.88583333333334,38.51376700098778,ZNI,,,desconocido
META,SAN MARTÍN,50689,3.701899,-73.695812,424.0,4.65685,1.1816666666666666,22.2625,87.3175,31.570246719468653,ZNI,,,solar
META,VISTAHERMOSA,50711,3.125579,-73.750966,296.0,4.65685,0.7816666666666667,24.230833333333333,87.48416666666667,31.570246719468653,ZNI,,,solar
NARIÑO,PASTO,52001,1.212352,-77.278795,2537.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,ALBÁN,52019,1.474978,-77.080712,1955.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,ALDANA,52022,0.882381,-77.700564,3015.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,ANCUYA,52036,1.263276,-77.514512,1361.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,ARBOLEDA,52051,1.503418,-77.135467,2182.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,BARBACOAS,52079,1.671733,-78.13765,53.0,3.904575,3.160833333333333,23.486666666666668,81.47083333333333,42.26236392717809,ZNI,,,desconocido
NARIÑO,BELÉN,52083,1.595681,-77.015619,2437.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,BUESACO,52110,1.381453,-77.156463,1935.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,COLÓN,52203,1.643878,-77.019777,1913.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,CONSACÁ,52207,1.207854,-77.466136,1667.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,CONTADERO,52210,0.910458,-77.549409,2624.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,CÓRDOBA,52215,0.854564,-77.517897,2847.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,CUASPUD CARLOSAMA,52224,0.862978,-77.728947,3029.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,CUMBAL,52227,0.906367,-77.792505,3125.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,CUMBITARA,52233,1.647163,-77.578616,1689.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,CHACHAGÜÍ,52240,1.360545,-77.281869,1964.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,EL CHARCO,52250,2.479688,-78.110217,2.0,4.22105,2.9625,26.363333333333333,82.86333333333333,37.12578418059179,ZNI,,,desconocido
NARIÑO,EL PEÑOL,52254,1.453567,-77.438522,1592.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,EL ROSARIO,52256,1.745309,-77.33417,1617.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,EL TABLÓN DE GÓMEZ,52258,1.427277,-77.097101,1589.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,EL TAMBO,52260,1.407913,-77.390772,2190.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,FUNES,52287,1.001159,-77.448913,2275.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,GUACHUCAL,52317,0.959744,-77.731589,3098.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,GUAITARILLA,52320,1.129574,-77.549824,2626.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,GUALMATÁN,52323,0.919652,-77.568701,2913.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,ILES,52352,0.96952,-77.521227,2989.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,IMUÉS,52354,1.05506,-77.496339,2575.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,IPIALES,52356,0.827732,-77.646367,2896.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,LA CRUZ,52378,1.601318,-76.970504,2393.0,3.7721583333333335,2.5033333333333334,15.993333333333332,83.90083333333332,46.41890316295597,ZNI,,,desconocido
NARIÑO,LA FLORIDA,52381,1.29753,-77.402882,2201.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,LA LLANADA,52385,1.472892,-77.58091,2306.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,LA TOLA,52390,2.398999,-78.189725,-2.0,4.22105,2.9625,26.363333333333333,82.86333333333333,37.12578418059179,ZNI,,,desconocido
NARIÑO,LA UNIÓN,52399,1.600219,-77.131316,1758.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
NARIÑO,LEIVA,52405,1.934453,-77.306135,1553.0,4.027041666666666,2.379166666666667,21.7475,82.34,42.03624316602335,ZNI,,,desconocido
NARIÑO,LINARES,52411,1.350814,-77.523953,1468.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,LOS ANDES,52418,1.494587,-77.521303,1562.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,MAGÜÍ,52427,1.765633,-78.182924,40.0,3.904575,2.983333333333333,26.45583333333333,79.25083333333333,42.26236392717809,ZNI,,,desconocido
NARIÑO,MALLAMA,52435,1.141037,-77.864549,1833.0,4.027041666666666,2.049166666666667,17.771666666666665,82.4975,42.03624316602335,ZNI,,,desconocido
NARIÑO,MOSQUERA,52473,2.507139,-78.452992,12.0,4.22105,4.6425,26.301666666666662,83.90666666666667,37.12578418059179,ZNI,,,hibrida
NARIÑO,NARIÑO,52480,1.288979,-77.357972,2352.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,OLAYA HERRERA,52490,2.347457,-78.325814,4.0,4.22105,2.9625,26.363333333333333,82.86333333333333,37.12578418059179,ZNI,,,desconocido
NARIÑO,OSPINA,52506,1.058433,-77.566082,2864.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,FRANCISCO PIZARRO,52520,2.040629,-78.658361,5.0,4.22105,4.295833333333333,26.45833333333333,81.43833333333333,37.12578418059179,ZNI,,,hibrida
NARIÑO,POLICARPA,52540,1.627196,-77.458686,1047.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,POTOSÍ,52560,0.806639,-77.573003,2739.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,PROVIDENCIA,52565,1.237814,-77.596794,2321.0,4.027041666666666,2.7291666666666665,13.169166666666667,84.78083333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,PUERRES,52573,0.885125,-77.504211,2759.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,PUPIALES,52585,0.870442,-77.636042,2946.0,3.7012,2.7291666666666665,13.169166666666667,84.78083333333333,47.57525646155644,ZNI,,,desconocido
NARIÑO,RICAURTE,52612,1.212492,-77.995153,1182.0,4.027041666666666,2.049166666666667,17.771666666666665,82.4975,42.03624316602335,ZNI,,,desconocido
NARIÑO,ROBERTO PAYÁN,52621,1.697492,-78.245716,39.0,3.904575,3.160833333333333,23.486666666666668,81.47083333333333,42.26236392717809,ZNI,,,desconocido
NARIÑO,SAMANIEGO,52678,1.335438,-77.594341,1465.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,SANDONÁ,52683,1.283438,-77.47313,1802.0,4.027041666666666,1.6083333333333334,18.1675,80.82833333333333,42.03624316602335,ZNI,,,desconocido
NARIÑO,SAN BERNARDO,52685,1.513762,-77.0475,1964.0,4.027041666666666,2.5033333333333334,15.993333333333332,83.90083333333332,42.03624316602335,ZNI,,,desconocido
